35112,Beograd,20.4587047,44.82008444,13,1
35194,Novi Sad,19.84248014,45.25427373,13,2
35188,Niš,21.89449944,43.31686775,13,3
35160,Kragujevac,20.91611419,44.01032667,13,4
35093,Ada,20.12454752,45.79948144,13,80006
35094,Aleksandrovac,21.05218252,43.45835117,13,80007
35095,Aleksinac,21.70817293,43.54221979,13,80008
35096,Alibunar,20.96680172,45.08109328,13,80009
35097,Apatin,18.97985665,45.67197266,13,80010
35098,Aranđelovac,20.56569016,44.30433495,13,80011
35099,Arilje,20.09715186,43.7525043,13,80012
35100,Babušnica,22.412729,43.06584993,13,80013
35101,Bač,19.23669456,45.39161778,13,80014
35102,Bačka Palanka,19.39685502,45.24963495,13,80015
35103,Bačka Topola,19.62999662,45.819782,13,80016
35104,Bački Petrovac,19.59162882,45.36059825,13,80017
35105,Bajina Bašta,19.56897447,43.9696794,13,80018
35107,Batočina,21.0803372,44.15435447,13,80020
35108,Bečej,20.03505856,45.61492161,13,80021
35109,Bela Crkva,21.41803203,44.90301087,13,80022
35110,Bela Palanka,22.31132872,43.21808577,13,80023
35111,Beočin,19.72077308,45.20689467,13,80024
35113,Blace,21.28628346,43.29562538,13,80025
35114,Bogatić,19.47968231,44.83418549,13,80026
35115,Bojnik,21.72118833,43.0128712,13,80027
35116,Boljevac,21.9613072,43.8315112,13,80028
35117,Bor,22.09886454,44.07912271,13,80029
35118,Bosilegrad,22.47211384,42.50038278,13,80030
35119,Brus,21.03398476,43.38350909,13,80031
35120,Bujanovac,21.76557107,42.46059721,13,80032
35125,Crna Trava,22.29896903,42.80964434,13,80033
35121,Čačak,20.34946931,43.89340594,13,80034
35122,Čajetina,19.71798509,43.75066138,13,80035
35123,Ćićevac,21.44075506,43.71810603,13,80036
35124,Čoka,20.140221,45.93909436,13,80037
35126,Ćuprija,21.37072577,43.93410291,13,80038
35128,Dečani,20.28812487,42.5402383,13,80039
35129,Despotovac,21.44171941,44.09426081,13,80040
35130,Dimitrovgrad,22.77857583,43.01302896,13,80041
35131,Doljevac,21.83306257,43.19947096,13,80042
35132,Dragaš,20.64985616,42.06184154,13,80043
35127,Đakovica,20.42799721,42.38475038,13,80044
35133,Gadžin Han,22.03247059,43.2225781,13,80045
35134,Glogovac,20.8974991,42.62444435,13,80046
35135,Gnjilane,21.47053798,42.46485938,13,80047
35136,Golubac,21.63005808,44.65316798,13,80048
35137,Gornji Milanovac,20.46007676,44.02418611,13,80049
35139,Inđija,20.08060407,45.04790897,13,80051
35140,Irig,19.86102948,45.0995427,13,80052
35141,Istok,20.48579976,42.78162386,13,80053
35142,Ivanjica,20.22876383,43.58163954,13,80054
35143,Jagodina,21.25743836,43.98126633,13,80055
35144,Kačanik,21.25841106,42.22801953,13,80056
35145,Kanjiža,20.05086805,46.06207144,13,80057
35146,Kikinda,20.46678801,45.83071883,13,80058
35147,Kladovo,22.60947066,44.6115209,13,80059
35148,Klina,20.57596706,42.61817556,13,80060
35149,Knić,20.71787557,43.92695362,13,80061
35150,Knjaževac,22.25809035,43.56739933,13,80062
35151,Koceljeva,19.82011384,44.46680119,13,80063
35152,Kopaonik,20.80347922,43.2845729,13,80064
35153,Kosjerić,19.90682719,43.99473612,13,80065
35154,Kosovo Polje,21.09346569,42.63772725,13,80066
35220,Ražanj,21.54965994,43.67245443,13,80130
35155,Kosovska Kamenica,21.57542927,42.58366056,13,80067
35156,Kosovska Mitrovica,20.86556553,42.89177624,13,80068
35158,Kovačica,20.6183198,45.11210889,13,80070
35159,Kovin,20.97784199,44.73929958,13,80071
35161,Kraljevo,20.68381437,43.72513299,13,80072
35162,Krupanj,19.36361827,44.36538541,13,80073
35163,Kruševac,21.33082723,43.5799036,13,80074
35164,Kučevo,21.66866956,44.47844845,13,80075
35165,Kula,19.52751857,45.6126582,13,80076
35166,Kuršumlija,21.2776006,43.13821032,13,80077
35167,Lajkovac,20.16717902,44.37016632,13,80078
35168,Lapovo,21.10171404,44.18227465,13,80079
35170,Lebane,21.73650548,42.91722199,13,80081
35171,Leposavić,20.80091339,43.10148419,13,80082
35172,Leskovac,21.94285417,42.99640113,13,80083
35173,Lipljan,21.11902372,42.52488582,13,80084
35176,Loznica,19.22367993,44.53379375,13,80085
35177,Lučani,20.13655996,43.86016377,13,80086
35174,Ljig,20.24000171,44.22510128,13,80087
35175,Ljubovija,19.3748267,44.18955376,13,80088
35178,Majdanpek,21.93683554,44.4227102,13,80089
35179,Mali Iđoš,19.66358769,45.70800896,13,80090
35180,Mali Zvornik,19.10595996,44.37423323,13,80091
35181,Mališevo,20.74312297,42.48387444,13,80092
35182,Malo Crniće,21.29814634,44.56044877,13,80093
35183,Medveđa,21.5849065,42.84374827,13,80094
35184,Merošina,21.71917964,43.28275801,13,80095
35185,Mionica,20.08172514,44.25208633,13,80096
35187,Negotin,22.53092883,44.22633767,13,80098
35189,Nova Crnja,20.60523992,45.6682872,13,80099
35190,Nova Varoš,19.81846248,43.45968469,13,80101
35191,Novi Bečej,20.13754444,45.59817439,13,80102
35192,Novi Kneževac,20.09024793,46.04410766,13,80103
35193,Novi Pazar,20.5181209,43.14069056,13,80104
35195,Novo Brdo,21.43356967,42.61505147,13,80105
35196,Obilić,21.07494049,42.68439441,13,80106
35198,Odžaci,19.25945584,45.50597855,13,80108
35199,Opovo,20.42549109,45.0519299,13,80109
35200,Orahovac,20.65543151,42.4040935,13,80110
35201,Osečina,19.60044119,44.3727942,13,80111
35202,Pančevo,20.64021584,44.86938885,13,80112
35203,Paraćin,21.41112318,43.85927384,13,80113
